,,aaeon,,,,acelin,,,,方向(0:出/1:進),備註
時間,肉眼辨識車牌,完全正確,模糊,辨識結果,是否有資料,完全正確,模糊,辨識結果,是否有資料
"2023/7/28,17:26:6",0685GZ,1,1,0685GZ,1,1,1,0685GZ,1,1,
"2023/7/28,17:32:55",AKK8125,1,1,AKK8125,1,1,1,AKK8125,1,0,
"2023/7/28,17:49:38",BFM1090,1,1,BFM1090,1,1,1,BFM1090,1,1,
"2023/7/28,18:16:55",0815L3,1,1,0815L3,1,1,1,0815L3,1,1,
"2023/7/28,18:51:35",APN7596,1,1,APN7596,1,1,1,APN7596,1,1,
"2023/7/28,19:3:38",BKL2019,1,1,BKL2019,1,1,1,BKL2019,1,0,
"2023/7/28,19:10:6",AAD7379,,,,,1,1,AAD7379,1,0,
"2023/7/28,19:11:5",APN7596,1,1,APN7596,1,1,1,APN7596,1,0,
"2023/7/28,19:19:46",AAD7379,1,1,AAD7379,1,1,1,AAD7379,1,1,
"2023/7/28,19:23:39",APN7596,1,1,APN7596,1,1,1,APN7596,1,1,
"2023/7/28,19:27:17",BKL2019,1,1,BKL2019,1,1,1,BKL2019,1,1,
"2023/7/28,20:12:2",BNV2991,1,1,BNV2991,1,1,1,BNV2991,1,1,
"2023/7/28,21:24:31",AAD7379,1,1,AAD7379,1,1,1,AAD7379,1,0,
"2023/7/28,21:35:47",AAD7379,1,1,AAD7379,1,1,1,AAD7379,1,1,
"2023/7/28,23:14:20",ARE1316,1,1,ARE1316,1,1,1,ARE1316,1,1,
"2023/7/29,2:31:11",AKK8125,1,1,AKK8125,1,1,1,AKK8125,1,1,
"2023/7/29,4:47:20",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,0,
"2023/7/29,5:37:13",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,1,
"2023/7/29,6:36:44",AKK6720,,,,,1,1,AKK6720,1,0,
"2023/7/29,8:13:18",5026QM,,,,,1,1,5026QM,1,0,
"2023/7/29,9:10:21",BEE7158,,,,,1,1,BEE7158,1,0,
"2023/7/29,9:15:56",1803H9,,,,,1,1,1803H9,1,0,
"2023/7/29,9:56:33",BPM3215,,,,,1,1,BPM3215,1,0,
"2023/7/29,10:1:27",BBE2770,,,,,1,1,BBE2770,1,0,
"2023/7/29,10:40:40",BBA1339,1,1,BBA1339,1,1,1,BBA1339,1,0,
"2023/7/29,11:2:53",BKL2019,,,,,1,1,BKL2019,1,0,
"2023/7/29,11:13:50",AGU1550,1,1,AGU1550,1,1,1,AGU1550,1,0,
"2023/7/29,11:36:26",AXA3689,,,,,,,,,1,
"2023/7/29,11:54:12",ATL6867,1,1,ATL6867,1,1,1,ATL6867,1,0,
"2023/7/29,12:4:23",0815L3,,,,,1,1,0815L3,1,0,
"2023/7/29,12:55:34",ATK1232,,,,,1,1,ATK1232,1,0,
"2023/7/29,12:58:41",AKK6720,1,1,AKK6720,1,1,1,AKK6720,1,1,
"2023/7/29,13:18:3",BAZ0697,1,1,BAZ0697,1,1,1,BAZ0697,1,0,
"2023/7/29,13:28:38",BKL2019,,,,,1,1,BKL2019,1,1,
"2023/7/29,13:42:0",ATK1232,,,,,1,1,ATK1232,1,1,
"2023/7/29,13:52:40",BBA1339,,,,,1,1,BBA1339,1,1,
"2023/7/29,13:55:34",BAZ0697,,,,,1,1,BAZ0697,1,1,
"2023/7/29,14:1:24",BFM1090,,,,,1,1,BFM1090,1,0,
"2023/7/29,14:5:5",AXA3689,,,,,,,,,0,
"2023/7/29,14:11:6",BEE7158,,,,,1,1,BEE7158,1,1,
"2023/7/29,14:15:30",0815L3,1,1,0815L3,1,1,1,0815L3,1,1,
"2023/7/29,15:38:9",2028H9,1,1,2028H9,1,1,1,2028H9,1,0,
"2023/7/29,15:43:28",AWY7383,1,1,AWY7383,1,1,1,AWY7383,1,0,
"2023/7/29,15:55:44",AKK8125,,,,,1,1,AKK8125,1,0,
"2023/7/29,16:4:20",ATK1232,1,1,ATK1232,1,1,1,ATK1232,1,0,
"2023/7/29,16:17:37",BEE7158,,,,,1,1,BEE7158,1,0,
"2023/7/29,16:46:52",BFM1090,1,1,BFM1090,1,1,1,BFM1090,1,1,
