[07/28/2023, 16:57:38] plate_detected; ['A111']
[07/28/2023, 16:57:39] plate_detected; ['A111']
[07/28/2023, 16:57:39] plate_detected; ['A111']
[07/28/2023, 16:57:39] plate_detected; ['A111']
[07/28/2023, 16:57:40] plate_detected; ['AL111']
[07/28/2023, 16:57:40] plate_detected; ['A111']
[07/28/2023, 16:57:40] plate_detected; ['A111']
[07/28/2023, 16:57:40] plate_detected; ['A111']
[07/28/2023, 16:57:40] plate_detected; ['A111']
[07/28/2023, 16:57:41] plate_detected; ['AL11']
[07/28/2023, 16:57:41] plate_detected; ['AL111']
[07/28/2023, 16:57:41] plate_detected; ['A111']
[07/28/2023, 16:57:41] plate_detected; ['AL111']
[07/28/2023, 16:57:42] plate_detected; ['AL111']
[07/28/2023, 16:57:42] plate_detected; ['AL111']
[07/28/2023, 16:57:42] plate_detected; ['A11']
[07/28/2023, 16:57:42] plate_detected; ['A11']
[07/28/2023, 16:57:43] plate_detected; ['A11']
[07/28/2023, 16:57:43] plate_detected; ['A11']
[07/28/2023, 16:57:43] plate_detected; ['A11']
[07/28/2023, 16:57:43] plate_detected; ['A11']
[07/28/2023, 16:57:43] plate_detected; ['A111']
[07/28/2023, 16:57:44] plate_detected; ['A11']
[07/28/2023, 16:57:44] plate_detected; ['A111']
[07/28/2023, 16:57:44] plate_detected; ['AL111']
[07/28/2023, 16:57:45] plate_detected; ['A111']
[07/28/2023, 16:57:45] plate_detected; ['A111']
[07/28/2023, 16:57:45] plate_detected; ['A111']
[07/28/2023, 16:57:45] plate_detected; ['A111']
[07/28/2023, 16:57:45] plate_detected; ['A111']
[07/28/2023, 16:57:46] plate_detected; ['A111']
[07/28/2023, 16:57:46] plate_detected; ['A111']
[07/28/2023, 16:57:46] plate_detected; ['A111']
[07/28/2023, 16:57:46] plate_detected; ['AA11']
[07/28/2023, 16:57:47] plate_detected; ['A111']
[07/28/2023, 16:57:47] plate_detected; ['A111']
[07/28/2023, 16:57:47] plate_detected; ['A111']
[07/28/2023, 16:57:47] plate_detected; ['A111']
[07/28/2023, 16:57:47] plate_detected; ['A111']
[07/28/2023, 16:57:48] plate_detected; ['A111']
[07/28/2023, 16:57:48] plate_detected; ['A111']
[07/28/2023, 16:57:48] plate_detected; ['A111']
[07/28/2023, 16:57:48] plate_detected; ['A11']
[07/28/2023, 16:57:49] plate_detected; ['A111']
[07/28/2023, 16:57:49] plate_detected; ['AL111']
[07/28/2023, 16:57:49] plate_detected; ['A111']
[07/28/2023, 16:57:49] plate_detected; ['A111']
[07/28/2023, 16:57:49] plate_detected; ['A111']
[07/28/2023, 16:57:50] plate_detected; ['A111']
[07/28/2023, 16:57:50] plate_detected; ['A111']
[07/28/2023, 16:57:50] plate_detected; ['A111']
[07/28/2023, 16:57:50] plate_detected; ['A111']
[07/28/2023, 16:57:50] plate_detected; ['A111']
[07/28/2023, 16:57:51] plate_detected; ['A111']
[07/28/2023, 16:57:51] plate_detected; ['A111']
[07/28/2023, 16:57:51] plate_detected; ['A111']
