dvr_time,aaeon_time,延遲秒數
"2023/7/28,17:26:6","2023/7/28,17:26:35",29,
"2023/7/28,17:32:55","2023/7/28,17:32:53",-2,
"2023/7/28,17:49:38","2023/7/28,17:50:24",46,
"2023/7/28,18:16:55","2023/7/28,18:17:41",46,
"2023/7/28,18:51:35","2023/7/28,18:51:48",13,
"2023/7/28,19:3:38","2023/7/28,19:3:38",0,
"2023/7/28,19:11:5","2023/7/28,19:11:5",0,
"2023/7/28,19:19:46","2023/7/28,19:20:27",41,
"2023/7/28,19:23:39","2023/7/28,19:24:2",23,
"2023/7/28,19:27:17","2023/7/28,19:27:37",20,
"2023/7/28,20:12:2","2023/7/28,20:12:41",39,
"2023/7/28,21:24:31","2023/7/28,21:24:28",-3,
"2023/7/28,21:35:47","2023/7/28,21:36:33",46,
"2023/7/28,23:14:20","2023/7/28,23:17:15",175,
"2023/7/29,2:31:11","2023/7/29,2:37:43",392,
"2023/7/29,4:47:20","2023/7/29,4:56:15",535,
"2023/7/29,5:37:13","2023/7/29,5:44:52",459,
"2023/7/29,10:40:40","2023/7/29,10:50:1",561,
"2023/7/29,11:13:50","2023/7/29,11:21:35",465,
"2023/7/29,11:54:12","2023/7/29,12:2:49",517,
"2023/7/29,12:58:41","2023/7/29,13:11:50",789,
"2023/7/29,13:18:3","2023/7/29,13:26:51",528,
"2023/7/29,14:15:30","2023/7/29,14:16:24",54,
"2023/7/29,15:38:9","2023/7/29,15:41:32",203,
"2023/7/29,15:43:28","2023/7/29,15:44:37",69,
"2023/7/29,16:4:20","2023/7/29,16:8:34",254,
"2023/7/29,16:46:52","2023/7/29,16:48:58",126,
"2023/7/29,16:56:58","2023/7/29,16:58:23",85,
"2023/7/29,17:8:35","2023/7/29,17:13:54",319,
"2023/7/29,17:15:56","2023/7/29,17:17:56",120,
"2023/7/29,17:51:25","2023/7/29,17:53:59",154,
"2023/7/29,18:17:22","2023/7/29,18:22:45",323,
"2023/7/29,19:37:44","2023/7/29,19:45:30",466,
"2023/7/29,21:41:17","2023/7/29,21:50:17",540,
"2023/7/30,3:45:53","2023/7/30,3:48:4",131,
"2023/7/30,6:14:46","2023/7/30,6:21:47",421,
"2023/7/30,8:16:0","2023/7/30,8:19:57",237,
"2023/7/30,8:25:51","2023/7/30,8:34:8",497,
"2023/7/30,10:0:9","2023/7/30,10:5:55",346,
"2023/7/30,10:2:53","2023/7/30,10:12:22",569,
"2023/7/30,10:37:43","2023/7/30,10:43:38",355,
"2023/7/30,12:15:16","2023/7/30,12:16:12",56,
"2023/7/30,12:30:40","2023/7/30,12:30:53",13,
"2023/7/30,13:31:16","2023/7/30,13:38:40",444,
"2023/7/30,17:35:58","2023/7/30,17:39:28",210,
"2023/7/30,18:20:41","2023/7/30,18:21:34",53,
"2023/7/30,18:34:30","2023/7/30,18:35:22",52,
"2023/7/30,18:56:45","2023/7/30,18:58:28",103,
"2023/7/30,19:47:26","2023/7/30,19:51:32",246,
"2023/7/30,20:19:30","2023/7/30,20:20:31",61,
"2023/7/30,20:38:38","2023/7/30,20:40:45",127,
"2023/7/30,20:51:18","2023/7/30,20:58:37",439,
"2023/7/30,21:7:14","2023/7/30,21:8:34",80,
"2023/7/30,21:16:32","2023/7/30,21:20:7",215,
"2023/7/30,21:55:23","2023/7/30,21:58:44",201,
"2023/7/31,2:3:12","2023/7/31,2:3:13",1,
"2023/7/31,5:48:24","2023/7/31,5:49:29",65,
"2023/7/31,6:19:53","2023/7/31,6:18:53",-60,
"2023/7/31,8:23:50","2023/7/31,8:25:57",127,
"2023/7/31,8:54:23","2023/7/31,8:55:3",40,
"2023/7/31,9:18:30","2023/7/31,9:18:35",5,
"2023/7/31,9:40:18","2023/7/31,9:40:26",8,
"2023/7/31,10:35:10","2023/7/31,10:36:21",71,
"2023/7/31,11:11:44","2023/7/31,11:14:17",153,
"2023/7/31,11:21:18","2023/7/31,11:24:5",167,
"2023/7/31,11:33:11","2023/7/31,11:37:51",280,
延遲級距,個數
延遲0分鐘,22
延遲1分鐘,8
延遲2分鐘,9
延遲3分鐘,5
延遲4分鐘,3
延遲5分鐘,4
延遲6分鐘,1
延遲7分鐘,6
延遲8分鐘,4
延遲9分鐘,3
延遲10分鐘,0
延遲11分鐘,0
延遲12分鐘,0
延遲13分鐘,1
延遲14分鐘,0
延遲15分鐘,0
延遲16分鐘,0
延遲17分鐘,0
延遲18分鐘,0
延遲19分鐘,0
延遲20分鐘,0
延遲21分鐘,0
延遲22分鐘,0
延遲23分鐘,0
延遲24分鐘,0
延遲25分鐘,0
延遲26分鐘,0
延遲27分鐘,0
延遲28分鐘,0
延遲29分鐘,0
延遲30分鐘,0
延遲31分鐘,0
延遲32分鐘,0
延遲33分鐘,0
延遲34分鐘,0
延遲35分鐘,0
延遲36分鐘,0
延遲37分鐘,0
延遲38分鐘,0
延遲39分鐘,0
延遲40分鐘,0
延遲41分鐘,0
延遲42分鐘,0
延遲43分鐘,0
延遲44分鐘,0
延遲45分鐘,0
延遲46分鐘,0
延遲47分鐘,0
延遲48分鐘,0
延遲49分鐘,0
延遲50分鐘,0
延遲51分鐘,0
延遲52分鐘,0
延遲53分鐘,0
延遲54分鐘,0
延遲55分鐘,0
延遲56分鐘,0
延遲57分鐘,0
延遲58分鐘,0
延遲59分鐘,0
延遲60分鐘,0
延遲61分鐘,0
延遲62分鐘,0
延遲63分鐘,0
延遲64分鐘,0
延遲65分鐘,0
延遲66分鐘,0
延遲67分鐘,0
延遲68分鐘,0
延遲69分鐘,0
延遲70分鐘,0
延遲71分鐘,0
延遲72分鐘,0
延遲73分鐘,0
延遲74分鐘,0
延遲75分鐘,0
延遲76分鐘,0
延遲77分鐘,0
延遲78分鐘,0
延遲79分鐘,0
延遲80分鐘,0
延遲81分鐘,0
延遲82分鐘,0
延遲83分鐘,0
延遲84分鐘,0
延遲85分鐘,0
延遲86分鐘,0
延遲87分鐘,0
延遲88分鐘,0
延遲89分鐘,0
延遲90分鐘,0
延遲91分鐘,0
延遲92分鐘,0
延遲93分鐘,0
延遲94分鐘,0
延遲95分鐘,0
延遲96分鐘,0
延遲97分鐘,0
延遲98分鐘,0
延遲99分鐘,0
