dvr_time,aaeon_time,延遲秒數
"2023/7/28,17:26:6","2023/7/28,17:26:1",-5,
"2023/7/28,17:32:55","2023/7/28,17:33:34",39,
"2023/7/28,17:49:38","2023/7/28,17:49:43",5,
"2023/7/28,18:16:55","2023/7/28,18:17:10",15,
"2023/7/28,18:51:35","2023/7/28,18:51:40",5,
"2023/7/28,19:3:38","2023/7/28,19:4:8",30,
"2023/7/28,19:10:6","2023/7/28,19:10:1",-5,
"2023/7/28,19:11:5","2023/7/28,19:11:9",4,
"2023/7/28,19:19:46","2023/7/28,19:19:52",6,
"2023/7/28,19:23:39","2023/7/28,19:23:39",0,
"2023/7/28,19:27:17","2023/7/28,19:27:19",2,
"2023/7/28,20:12:2","2023/7/28,20:12:6",4,
"2023/7/28,21:24:31","2023/7/28,21:29:39",308,
"2023/7/28,21:35:47","2023/7/28,21:39:21",214,
"2023/7/29,2:31:11","2023/7/29,2:36:32",321,
"2023/7/29,8:13:18","2023/7/29,8:22:32",554,
"2023/7/29,9:15:56","2023/7/29,9:26:15",619,
"2023/7/29,9:56:33","2023/7/29,10:7:51",678,
"2023/7/29,12:4:23","2023/7/29,12:15:33",670,
"2023/7/29,13:18:3","2023/7/29,14:4:57",2814,
"2023/7/29,14:1:24","2023/7/29,14:11:40",616,
"2023/7/29,14:15:30","2023/7/29,14:25:49",619,
"2023/7/29,15:43:28","2023/7/29,15:52:34",546,
"2023/7/29,15:55:44","2023/7/29,15:57:59",135,
"2023/7/29,16:4:20","2023/7/29,16:4:33",13,
"2023/7/29,16:17:37","2023/7/29,16:18:22",45,
"2023/7/29,16:46:52","2023/7/29,16:46:56",4,
"2023/7/29,16:55:23","2023/7/29,16:56:7",44,
"2023/7/29,16:56:58","2023/7/29,16:57:1",3,
"2023/7/29,17:8:35","2023/7/29,17:8:44",9,
"2023/7/29,17:15:56","2023/7/29,17:17:16",80,
"2023/7/29,17:39:31","2023/7/29,17:38:48",-43,
"2023/7/29,17:51:25","2023/7/29,17:52:12",47,
"2023/7/29,22:21:41","2023/7/29,22:28:6",385,
"2023/7/30,8:16:0","2023/7/30,17:44:27",34107,
"2023/7/30,12:30:40","2023/7/30,17:49:42",19142,
"2023/7/30,14:36:7","2023/7/30,18:36:47",14440,
"2023/7/30,18:20:41","2023/7/30,20:20:16",7175,
"2023/7/30,20:38:38","2023/7/30,20:38:44",6,
"2023/7/30,20:51:18","2023/7/30,20:52:45",87,
"2023/7/30,21:6:15","2023/7/30,21:6:53",38,
"2023/7/30,21:7:14","2023/7/30,21:7:50",36,
"2023/7/30,21:16:32","2023/7/30,21:20:15",223,
"2023/7/30,22:0:58","2023/7/30,22:2:32",94,
"2023/7/30,22:36:30","2023/7/30,22:39:32",182,
"2023/7/31,5:48:24","2023/7/31,5:48:32",8,
"2023/7/31,6:19:53","2023/7/31,6:20:23",30,
"2023/7/31,8:23:50","2023/7/31,8:25:15",85,
"2023/7/31,8:32:26","2023/7/31,8:32:55",29,
"2023/7/31,8:54:23","2023/7/31,8:56:11",108,
"2023/7/31,11:11:44","2023/7/31,11:12:45",61,
"2023/7/31,11:21:18","2023/7/31,11:21:29",11,
"2023/7/31,11:33:11","2023/7/31,11:33:58",47,
"2023/7/31,15:11:12","2023/7/31,15:16:52",340,
延遲級距,個數
延遲0分鐘,28
延遲1分鐘,6
延遲2分鐘,1
延遲3分鐘,3
延遲4分鐘,0
延遲5分鐘,3
延遲6分鐘,1
延遲7分鐘,0
延遲8分鐘,0
延遲9分鐘,2
延遲10分鐘,3
延遲11分鐘,2
延遲12分鐘,0
延遲13分鐘,0
延遲14分鐘,0
延遲15分鐘,0
延遲16分鐘,0
延遲17分鐘,0
延遲18分鐘,0
延遲19分鐘,0
延遲20分鐘,0
延遲21分鐘,0
延遲22分鐘,0
延遲23分鐘,0
延遲24分鐘,0
延遲25分鐘,0
延遲26分鐘,0
延遲27分鐘,0
延遲28分鐘,0
延遲29分鐘,0
延遲30分鐘,0
延遲31分鐘,0
延遲32分鐘,0
延遲33分鐘,0
延遲34分鐘,0
延遲35分鐘,0
延遲36分鐘,0
延遲37分鐘,0
延遲38分鐘,0
延遲39分鐘,0
延遲40分鐘,0
延遲41分鐘,0
延遲42分鐘,0
延遲43分鐘,0
延遲44分鐘,0
延遲45分鐘,0
延遲46分鐘,1
延遲47分鐘,0
延遲48分鐘,0
延遲49分鐘,0
延遲50分鐘,0
延遲51分鐘,0
延遲52分鐘,0
延遲53分鐘,0
延遲54分鐘,0
延遲55分鐘,0
延遲56分鐘,0
延遲57分鐘,0
延遲58分鐘,0
延遲59分鐘,0
延遲60分鐘,0
延遲61分鐘,0
延遲62分鐘,0
延遲63分鐘,0
延遲64分鐘,0
延遲65分鐘,0
延遲66分鐘,0
延遲67分鐘,0
延遲68分鐘,0
延遲69分鐘,0
延遲70分鐘,0
延遲71分鐘,0
延遲72分鐘,0
延遲73分鐘,0
延遲74分鐘,0
延遲75分鐘,0
延遲76分鐘,0
延遲77分鐘,0
延遲78分鐘,0
延遲79分鐘,0
延遲80分鐘,0
延遲81分鐘,0
延遲82分鐘,0
延遲83分鐘,0
延遲84分鐘,0
延遲85分鐘,0
延遲86分鐘,0
延遲87分鐘,0
延遲88分鐘,0
延遲89分鐘,0
延遲90分鐘,0
延遲91分鐘,0
延遲92分鐘,0
延遲93分鐘,0
延遲94分鐘,0
延遲95分鐘,0
延遲96分鐘,0
延遲97分鐘,0
延遲98分鐘,0
延遲99分鐘,0
