

[07/07/2023, 17:30:59] plate_detected; ['AW6720']
[07/07/2023, 17:31:00] plate_detected; ['AKW6770']
[07/07/2023, 17:31:00] plate_detected; ['AKK6770']
[07/07/2023, 17:31:00] plate_detected; ['AMK6770']
[07/07/2023, 17:31:01] plate_detected; ['AKN6355']
[07/07/2023, 17:31:01] plate_detected; ['ANV255']
[07/07/2023, 17:31:01] plate_detected; ['4522135']

[07/07/2023, 17:34:02] plate_detected; ['B59626']
[07/07/2023, 17:34:02] plate_detected; ['B5Q862562']
[07/07/2023, 17:34:02] plate_detected; ['A656']
[07/07/2023, 17:34:03] plate_detected; ['A85625']

[07/07/2023, 17:38:02] plate_detected; ['ANN627']
[07/07/2023, 17:38:02] plate_detected; ['AAN6722']
[07/07/2023, 17:38:02] plate_detected; ['AKK6720']
[07/07/2023, 17:38:02] white_plate_detected; ['AKK6720']

[07/07/2023, 17:44:00] plate_detected; ['3139WE']
[07/07/2023, 17:44:01] plate_detected; ['A1589QW']
[07/07/2023, 17:44:01] plate_detected; ['A1QQF']
[07/07/2023, 17:44:01] plate_detected; ['A26NWE']

[07/07/2023, 17:47:43] plate_detected; ['5026QM']
[07/07/2023, 17:47:43] white_plate_detected; ['5026QM']
[07/07/2023, 17:47:44] plate_detected; ['5026QM']
[07/07/2023, 17:47:44] plate_detected; ['5026QM']
[07/07/2023, 17:47:44] plate_detected; ['5026QM']

[07/07/2023, 18:21:28] plate_detected; ['BFW1050']

[07/07/2023, 19:22:37] plate_detected; ['AAQV5J5']
[07/07/2023, 19:22:37] plate_detected; ['AADT379']
[07/07/2023, 19:22:38] plate_detected; ['AAR73579']
[07/07/2023, 19:22:38] plate_detected; ['AAD7379']
[07/07/2023, 19:22:38] white_plate_detected; ['AAD7379']
[07/07/2023, 19:22:38] plate_detected; ['AAD7579']
[07/07/2023, 19:22:38] plate_detected; ['AAXTV0']
[07/07/2023, 19:22:39] plate_detected; ['AAXT50']
[07/07/2023, 19:22:39] plate_detected; ['A41151']

[07/07/2023, 20:35:59] plate_detected; ['RAR21']
[07/07/2023, 20:35:59] plate_detected; ['ARR895']
[07/07/2023, 20:36:00] plate_detected; ['AKNQ781']
[07/07/2023, 20:36:00] plate_detected; ['AKN67151']
[07/07/2023, 20:36:00] plate_detected; ['ANN6751']
[07/07/2023, 20:36:00] plate_detected; ['ANNS5']
[07/07/2023, 20:36:01] plate_detected; ['44N55']

[07/07/2023, 20:37:22] plate_detected; ['AKC1316']
[07/07/2023, 20:37:23] plate_detected; ['AAYL1316']
[07/07/2023, 20:37:23] plate_detected; ['AAV1X15']
[07/07/2023, 20:37:23] plate_detected; ['A4WJ1W13']

[07/07/2023, 20:52:28] plate_detected; ['ATL686']
[07/07/2023, 20:52:28] plate_detected; ['ATL6865']
[07/07/2023, 20:52:28] plate_detected; ['ATL6867']
[07/07/2023, 20:52:28] white_plate_detected; ['ATL6867']
[07/07/2023, 20:52:29] plate_detected; ['ATL6867']
[07/07/2023, 20:52:29] plate_detected; ['ATL6867']
[07/07/2023, 20:52:29] plate_detected; ['ATL6867']
[07/07/2023, 20:52:30] plate_detected; ['ATL6267']
[07/07/2023, 20:52:30] plate_detected; ['ATL656']
[07/07/2023, 20:52:30] plate_detected; ['ATL6M62']
[07/07/2023, 20:52:31] plate_detected; ['ATL6ASQ2']

[07/07/2023, 21:05:50] plate_detected; ['A52N']
[07/07/2023, 21:05:50] plate_detected; ['AQ616N']
[07/07/2023, 21:05:50] plate_detected; ['NLKU22N']
[07/07/2023, 21:05:51] plate_detected; ['ANJW2SN']
[07/07/2023, 21:05:51] plate_detected; ['BFN66FL']
[07/07/2023, 21:05:51] plate_detected; ['BFMQ050']
[07/07/2023, 21:05:51] plate_detected; ['BFM10S0']
[07/07/2023, 21:05:52] plate_detected; ['BFW0S0']

[07/07/2023, 21:42:09] plate_detected; ['AAQ757']
[07/07/2023, 21:42:09] plate_detected; ['AAD75279']
[07/07/2023, 21:42:09] plate_detected; ['AAPYN']
[07/07/2023, 21:42:10] plate_detected; ['AAQ7N79']

[07/07/2023, 22:22:48] plate_detected; ['APN7552']
[07/07/2023, 22:22:48] plate_detected; ['APN0592']
[07/07/2023, 22:22:49] plate_detected; ['APN585']
[07/07/2023, 22:22:49] plate_detected; ['NFN55']
[07/07/2023, 22:22:49] plate_detected; ['4N1525']

[07/07/2023, 22:47:00] plate_detected; ['BPW1075']
[07/07/2023, 22:47:00] plate_detected; ['BPW10']
[07/07/2023, 22:47:01] plate_detected; ['BPWJ695']
[07/07/2023, 22:47:01] plate_detected; ['BPW127']
[07/07/2023, 22:47:01] plate_detected; ['BFJYW75']
[07/07/2023, 22:47:02] plate_detected; ['BFPVW55']

[07/07/2023, 23:55:32] plate_detected; ['AF199V']/////////////////////////////////////////////utfdertytuioytrdesedytuiho

[07/08/2023, 06:31:34] plate_detected; ['ANNCR625']
[07/08/2023, 06:31:34] plate_detected; ['AYZS2']
[07/08/2023, 06:31:34] plate_detected; ['AKN72']
[07/08/2023, 06:31:35] plate_detected; ['AKK6721']
[07/08/2023, 06:31:35] plate_detected; ['AK6720']
[07/08/2023, 06:31:35] plate_detected; ['AKK6720']
[07/08/2023, 06:31:36] white_plate_detected; ['AKK6720']

[07/08/2023, 07:46:36] plate_detected; ['BLBNK']

[07/08/2023, 08:13:56] plate_detected; ['55978JD']
[07/08/2023, 08:13:56] plate_detected; ['5678J7']
[07/08/2023, 08:13:57] plate_detected; ['R575J17']
[07/08/2023, 08:13:57] plate_detected; ['9A17NYJ17']
[07/08/2023, 08:13:57] plate_detected; ['A7H1']
[07/08/2023, 08:13:58] plate_detected; ['ANWW1']
[07/08/2023, 08:13:58] plate_detected; ['AVLNA']

[07/08/2023, 08:49:03] plate_detected; ['NUJNC8']

[07/08/2023, 09:16:35] plate_detected; ['EE7158']
[07/08/2023, 09:16:36] plate_detected; ['EE7152']
[07/08/2023, 09:16:36] plate_detected; ['BEE715']
[07/08/2023, 09:16:36] plate_detected; ['BEE7158']
[07/08/2023, 09:16:36] white_plate_detected; ['BEE7158']

[07/08/2023, 09:59:31] plate_detected; ['BC9C521']
[07/08/2023, 09:59:32] plate_detected; ['BM7J']
[07/08/2023, 09:59:32] plate_detected; ['APN7']
[07/08/2023, 09:59:33] plate_detected; ['BFM15']
