[07/09/2023, 16:18:19] plate_detected; ['ACG7']
[07/09/2023, 16:54:02] plate_detected; ['AW2N']
[07/09/2023, 16:54:02] plate_detected; ['BNN82N']
[07/09/2023, 16:54:02] plate_detected; ['BN82D']
[07/09/2023, 16:54:03] plate_detected; ['BMN169']
[07/09/2023, 16:54:03] plate_detected; ['BFMN10SU']
[07/09/2023, 16:54:03] plate_detected; ['BFMN109U']
[07/09/2023, 16:54:04] plate_detected; ['BFMN109U']
[07/09/2023, 16:54:04] plate_detected; ['BFM109U']
[07/09/2023, 16:54:05] plate_detected; ['BFM1090']
[07/09/2023, 16:54:05] plate_detected; ['BFM1090']
[07/09/2023, 16:54:05] plate_detected; ['BFM109J']
[07/09/2023, 16:54:06] plate_detected; ['BFM109L']
[07/09/2023, 16:54:06] plate_detected; ['BFM109J']
[07/09/2023, 16:54:07] plate_detected; ['BFM1090']
[07/09/2023, 16:54:07] plate_detected; ['BFM1090']
[07/09/2023, 16:54:08] plate_detected; ['BFM1090']
[07/09/2023, 16:54:08] plate_detected; ['BFM1090']
[07/09/2023, 16:54:09] plate_detected; ['BFM1090']
[07/09/2023, 16:54:09] plate_detected; ['BFM1090']
[07/09/2023, 16:54:09] plate_detected; ['BFM1090']
[07/09/2023, 16:54:10] plate_detected; ['BFM1090']
[07/09/2023, 16:54:11] plate_detected; ['BFM1090']
[07/09/2023, 16:54:12] plate_detected; ['BFM1090']
[07/09/2023, 16:54:13] plate_detected; ['BFM1090']
[07/09/2023, 16:54:14] plate_detected; ['BFM1090']
[07/09/2023, 16:54:14] plate_detected; ['BFM1090']
[07/09/2023, 16:54:15] plate_detected; ['BFM1090']
[07/09/2023, 16:54:16] plate_detected; ['BFM1090']
[07/09/2023, 16:54:16] plate_detected; ['BFM1090']
[07/09/2023, 16:54:17] plate_detected; ['BFM1090']
[07/09/2023, 16:54:17] plate_detected; ['BFM1090']
[07/09/2023, 16:54:17] plate_detected; ['BFM1090']
[07/09/2023, 16:54:18] plate_detected; ['BFM1090']
[07/09/2023, 16:54:18] plate_detected; ['BFM1090']
[07/09/2023, 16:54:20] plate_detected; ['BFM1090']
[07/09/2023, 16:54:20] plate_detected; ['BFM1090']
[07/09/2023, 16:59:01] plate_detected; ['A53355']
[07/09/2023, 16:59:02] plate_detected; ['15035']
[07/09/2023, 16:59:02] plate_detected; ['1802DS']
[07/09/2023, 16:59:02] plate_detected; ['1603DS']
[07/09/2023, 16:59:03] plate_detected; ['1602H5']
[07/09/2023, 16:59:03] plate_detected; ['1602S']
[07/09/2023, 16:59:03] plate_detected; ['15027S']
[07/09/2023, 16:59:04] plate_detected; ['15027S']
[07/09/2023, 16:59:04] plate_detected; ['16027S']
[07/09/2023, 16:59:04] plate_detected; ['15003HS']
[07/09/2023, 16:59:05] plate_detected; ['15029']
[07/09/2023, 16:59:05] plate_detected; ['15029']
[07/09/2023, 16:59:05] plate_detected; ['15025']
[07/09/2023, 16:59:05] plate_detected; ['1502D5']
[07/09/2023, 16:59:06] plate_detected; ['1502S']
[07/09/2023, 16:59:06] plate_detected; ['1503HS']
[07/09/2023, 16:59:06] plate_detected; ['15002DS']
[07/09/2023, 16:59:07] plate_detected; ['15002S']
[07/09/2023, 16:59:07] plate_detected; ['1502S']
[07/09/2023, 16:59:07] plate_detected; ['15602S']
[07/09/2023, 16:59:07] plate_detected; ['1502315']
[07/09/2023, 16:59:08] plate_detected; ['150215']
[07/09/2023, 16:59:08] plate_detected; ['15023H5']
[07/09/2023, 16:59:08] plate_detected; ['1602H5']
[07/09/2023, 16:59:09] plate_detected; ['1502S']
[07/09/2023, 16:59:09] plate_detected; ['1500HS']
[07/09/2023, 16:59:09] plate_detected; ['1502S']
[07/09/2023, 16:59:10] plate_detected; ['1502S']
[07/09/2023, 16:59:10] plate_detected; ['1502S']
[07/09/2023, 16:59:11] plate_detected; ['1502S']
[07/09/2023, 16:59:11] plate_detected; ['16023HS']
[07/09/2023, 16:59:11] plate_detected; ['1602S']
[07/09/2023, 16:59:11] plate_detected; ['15602DS']
[07/09/2023, 16:59:12] plate_detected; ['1602S']
[07/09/2023, 16:59:12] plate_detected; ['15023H5']
[07/09/2023, 16:59:12] plate_detected; ['15025']
[07/09/2023, 16:59:12] plate_detected; ['1802HS']
[07/09/2023, 16:59:13] plate_detected; ['1502HS']
[07/09/2023, 16:59:13] plate_detected; ['15023']
[07/09/2023, 16:59:13] plate_detected; ['15025']
[07/09/2023, 16:59:13] plate_detected; ['1502DS']
[07/09/2023, 16:59:14] plate_detected; ['1502DS']
[07/09/2023, 16:59:14] plate_detected; ['15023HS']
[07/09/2023, 16:59:15] plate_detected; ['15023HS']
[07/09/2023, 16:59:15] plate_detected; ['15025']
[07/09/2023, 16:59:16] plate_detected; ['15025']
[07/09/2023, 16:59:16] plate_detected; ['15027H5']
[07/09/2023, 16:59:16] plate_detected; ['1502S']
[07/09/2023, 16:59:16] plate_detected; ['1502H5']
[07/09/2023, 16:59:17] plate_detected; ['1502H5']
[07/09/2023, 16:59:17] plate_detected; ['1502S']
[07/09/2023, 16:59:18] plate_detected; ['1505DS']
[07/09/2023, 16:59:18] plate_detected; ['15023DS']
[07/09/2023, 16:59:18] plate_detected; ['15023DS']
[07/09/2023, 16:59:18] plate_detected; ['1502HS']
[07/09/2023, 16:59:19] plate_detected; ['1502S']
[07/09/2023, 16:59:19] plate_detected; ['15025']
[07/09/2023, 16:59:19] plate_detected; ['16005']
[07/09/2023, 16:59:20] plate_detected; ['15025']
[07/09/2023, 16:59:20] plate_detected; ['15025']
[07/09/2023, 16:59:20] plate_detected; ['16023']
[07/09/2023, 16:59:21] plate_detected; ['1503DS']
[07/09/2023, 16:59:21] plate_detected; ['1502D3']
[07/09/2023, 16:59:21] plate_detected; ['1502HS']
[07/09/2023, 16:59:22] plate_detected; ['1503DS']
[07/09/2023, 16:59:22] plate_detected; ['1500TS']
[07/09/2023, 16:59:22] plate_detected; ['15025']
[07/09/2023, 16:59:23] plate_detected; ['1502D5']
[07/09/2023, 16:59:23] plate_detected; ['1502D5']
[07/09/2023, 16:59:23] plate_detected; ['1502DS']
[07/09/2023, 16:59:24] plate_detected; ['15035']
[07/09/2023, 16:59:24] plate_detected; ['1602D5']
[07/09/2023, 16:59:24] plate_detected; ['1602D']
[07/09/2023, 16:59:25] plate_detected; ['15003D5']
[07/09/2023, 16:59:25] plate_detected; ['15023H5']
[07/09/2023, 16:59:25] plate_detected; ['15023H5']
[07/09/2023, 16:59:26] plate_detected; ['150237H5']
[07/09/2023, 16:59:26] plate_detected; ['15023D5']
[07/09/2023, 16:59:26] plate_detected; ['160237H5']
[07/09/2023, 16:59:27] plate_detected; ['A5023H5']
[07/09/2023, 16:59:27] plate_detected; ['15023H5']
[07/09/2023, 16:59:28] plate_detected; ['1502H5']
[07/09/2023, 16:59:28] plate_detected; ['15023H5']
[07/09/2023, 16:59:28] plate_detected; ['1502355']
[07/09/2023, 16:59:28] plate_detected; ['15027H5']
[07/09/2023, 16:59:29] plate_detected; ['150237H5']
[07/09/2023, 16:59:29] plate_detected; ['150237553']
[07/09/2023, 16:59:29] plate_detected; ['160355']
[07/09/2023, 16:59:30] plate_detected; ['AS023755']
[07/09/2023, 16:59:30] plate_detected; ['AS023755']
[07/09/2023, 16:59:30] plate_detected; ['1S02353']
[07/09/2023, 16:59:30] plate_detected; ['A50353']
[07/09/2023, 16:59:31] plate_detected; ['A80353']
[07/09/2023, 16:59:31] plate_detected; ['A60355']
[07/09/2023, 16:59:31] plate_detected; ['1S02355']
[07/09/2023, 16:59:32] plate_detected; ['1S03553']
[07/09/2023, 16:59:32] plate_detected; ['180255']
[07/09/2023, 16:59:32] plate_detected; ['1803755']
[07/09/2023, 16:59:32] plate_detected; ['180355']
[07/09/2023, 16:59:33] plate_detected; ['1803755']
[07/09/2023, 16:59:33] plate_detected; ['18023755']
[07/09/2023, 16:59:33] plate_detected; ['18023755']
[07/09/2023, 16:59:34] plate_detected; ['18023755']
[07/09/2023, 16:59:34] plate_detected; ['1B023755']
[07/09/2023, 16:59:34] plate_detected; ['150355']
[07/09/2023, 16:59:34] plate_detected; ['150355']
[07/09/2023, 16:59:35] plate_detected; ['1S02355']
[07/09/2023, 16:59:35] plate_detected; ['1S02355']
[07/09/2023, 16:59:35] plate_detected; ['1803755']
[07/09/2023, 16:59:36] plate_detected; ['A50355']
[07/09/2023, 16:59:36] plate_detected; ['160355']
[07/09/2023, 16:59:36] plate_detected; ['A803H3']
[07/09/2023, 16:59:36] plate_detected; ['1803H3']
[07/09/2023, 16:59:37] plate_detected; ['1603H5']
[07/09/2023, 16:59:37] plate_detected; ['160353']
[07/09/2023, 16:59:37] plate_detected; ['150355']
[07/09/2023, 16:59:37] plate_detected; ['180355']
[07/09/2023, 16:59:38] plate_detected; ['180355']
[07/09/2023, 16:59:38] plate_detected; ['A80355']
[07/09/2023, 16:59:39] plate_detected; ['180355']
[07/09/2023, 16:59:39] plate_detected; ['180355']
[07/09/2023, 16:59:39] plate_detected; ['180355']
[07/09/2023, 16:59:39] plate_detected; ['180355']
[07/09/2023, 16:59:40] plate_detected; ['180355']
[07/09/2023, 16:59:40] plate_detected; ['1B0355']
[07/09/2023, 16:59:40] plate_detected; ['A80355']
[07/09/2023, 16:59:40] plate_detected; ['A80355']
[07/09/2023, 16:59:41] plate_detected; ['A80355']
[07/09/2023, 16:59:41] plate_detected; ['A603155']
[07/09/2023, 16:59:41] plate_detected; ['A602755']
[07/09/2023, 16:59:42] plate_detected; ['AB055']
[07/09/2023, 16:59:43] plate_detected; ['BD26']
[07/09/2023, 16:59:43] plate_detected; ['AB22755']
[07/09/2023, 16:59:44] plate_detected; ['A0255']
[07/09/2023, 16:59:44] plate_detected; ['1803H9']
[07/09/2023, 16:59:44] white_plate_detected; ['1803H9']
[07/09/2023, 16:59:44] plate_detected; ['1803H9']
[07/09/2023, 16:59:44] plate_detected; ['1803H9']
[07/09/2023, 16:59:45] plate_detected; ['1803H9']
[07/09/2023, 16:59:45] plate_detected; ['1803H9']
[07/09/2023, 16:59:45] plate_detected; ['1803H9']
[07/09/2023, 16:59:45] plate_detected; ['1803H9']
[07/09/2023, 16:59:46] plate_detected; ['1803H9']
[07/09/2023, 16:59:46] plate_detected; ['1803H9']
[07/09/2023, 16:59:46] plate_detected; ['1803H9']
[07/09/2023, 16:59:46] plate_detected; ['1803H9']
[07/09/2023, 16:59:47] plate_detected; ['1803H9']
[07/09/2023, 16:59:47] plate_detected; ['1803H9']
[07/09/2023, 16:59:47] plate_detected; ['1803H9']
[07/09/2023, 16:59:47] plate_detected; ['1803H9']
[07/09/2023, 16:59:48] plate_detected; ['1803H9']
[07/09/2023, 16:59:48] plate_detected; ['1803H9']
[07/09/2023, 16:59:48] plate_detected; ['1803H9']
[07/09/2023, 16:59:49] plate_detected; ['1803H9']
[07/09/2023, 16:59:49] plate_detected; ['1803H9']
[07/09/2023, 16:59:49] plate_detected; ['1803H9']
[07/09/2023, 16:59:50] plate_detected; ['1803H9']
[07/09/2023, 16:59:50] plate_detected; ['1803H9']
[07/09/2023, 16:59:50] plate_detected; ['1803H9']
[07/09/2023, 16:59:51] plate_detected; ['1803H9']
[07/09/2023, 16:59:51] plate_detected; ['1803H9']
[07/09/2023, 16:59:51] plate_detected; ['1803H9']
[07/09/2023, 16:59:52] plate_detected; ['1803H9']
[07/09/2023, 16:59:52] plate_detected; ['1803H9']
[07/09/2023, 16:59:52] plate_detected; ['1803H9']
[07/09/2023, 16:59:53] plate_detected; ['1803H9']
[07/09/2023, 16:59:53] plate_detected; ['1803H9']
[07/09/2023, 16:59:53] plate_detected; ['1803H9']
[07/09/2023, 16:59:53] plate_detected; ['1803H9']
[07/09/2023, 16:59:54] plate_detected; ['1803H9']
[07/09/2023, 16:59:54] plate_detected; ['1803H9']
[07/09/2023, 16:59:54] plate_detected; ['1803H9']
[07/09/2023, 16:59:54] plate_detected; ['1803H9']
[07/09/2023, 16:59:55] plate_detected; ['1803H9']
[07/09/2023, 16:59:55] plate_detected; ['1803H9']
[07/09/2023, 16:59:55] plate_detected; ['1803H9']
[07/09/2023, 16:59:55] plate_detected; ['1803H9']
[07/09/2023, 16:59:56] plate_detected; ['1803H9']
[07/09/2023, 16:59:56] plate_detected; ['1803H5']
[07/09/2023, 16:59:56] plate_detected; ['1R0D3H5']
[07/09/2023, 17:02:09] plate_detected; ['B0W9296']
[07/09/2023, 17:02:09] plate_detected; ['BBW96226']
[07/09/2023, 17:02:09] plate_detected; ['BGM9626']
[07/09/2023, 17:02:10] plate_detected; ['BBM9626']
[07/09/2023, 17:02:10] white_plate_detected; ['BBM9626']
[07/09/2023, 17:02:10] plate_detected; ['BGM9626']
[07/09/2023, 17:02:10] plate_detected; ['BDM9626']
[07/09/2023, 17:02:11] plate_detected; ['BBM9626']
[07/09/2023, 17:02:11] plate_detected; ['BBM9626']
[07/09/2023, 17:02:11] plate_detected; ['BBM9626']
[07/09/2023, 17:02:12] plate_detected; ['BBM9626']
[07/09/2023, 17:02:12] plate_detected; ['BBM9626']
[07/09/2023, 17:02:12] plate_detected; ['BBM9626']
[07/09/2023, 17:02:12] plate_detected; ['BBM9626']
[07/09/2023, 17:02:13] plate_detected; ['BBM9626']
[07/09/2023, 17:02:13] plate_detected; ['BBM9626']
[07/09/2023, 17:02:14] plate_detected; ['BBM9626']
[07/09/2023, 17:02:14] plate_detected; ['BBM9626']
[07/09/2023, 17:02:14] plate_detected; ['BBM9626']
[07/09/2023, 17:02:15] plate_detected; ['BBM9626']
[07/09/2023, 17:02:15] plate_detected; ['BBM9626']
[07/09/2023, 17:02:15] plate_detected; ['BBM9626']
[07/09/2023, 17:02:15] plate_detected; ['BBM9626']
[07/09/2023, 17:02:16] plate_detected; ['BBM9626']
[07/09/2023, 17:02:16] plate_detected; ['BBM9626']
[07/09/2023, 17:02:16] plate_detected; ['BBM9626']
[07/09/2023, 17:02:17] plate_detected; ['BBM9626']
[07/09/2023, 17:02:17] plate_detected; ['BBM9626']
[07/09/2023, 17:02:17] plate_detected; ['BBM9626']
[07/09/2023, 17:02:18] plate_detected; ['BBM9626']
[07/09/2023, 17:02:18] plate_detected; ['BBM9626']
[07/09/2023, 17:02:18] plate_detected; ['BBM9626']
[07/09/2023, 17:02:18] plate_detected; ['BBM9626']
[07/09/2023, 17:02:19] plate_detected; ['BBM9626']
[07/09/2023, 17:02:19] plate_detected; ['BBM9626']
[07/09/2023, 17:02:19] plate_detected; ['BBM9626']
[07/09/2023, 17:02:20] plate_detected; ['BBM9626']
[07/09/2023, 17:02:20] plate_detected; ['BBM9626']
[07/09/2023, 17:02:20] plate_detected; ['BBM9626']
[07/09/2023, 17:02:20] plate_detected; ['BBM9626']
[07/09/2023, 17:02:21] plate_detected; ['BBM9626']
[07/09/2023, 17:02:21] plate_detected; ['BBM9626']
