,,aaeon,,,,acelin,,,,方向(0:出/1:進),備註
時間,肉眼辨識車牌,完全正確,模糊,辨識結果,是否有資料,完全正確,模糊,辨識結果,是否有資料
"2023/21/7,17:29:38",AKK8125,,,,,,,,,0,
"2023/21/7,17:51:8",BBE2770,,,,,,,,,1,
"2023/21/7,18:1:22",BPM3215,,,,,,,,,1,
"2023/21/7,18:4:24",ANV7156,,,,,,,,,1,
"2023/21/7,18:32:11",BFM1090,,,,,,,,,1,
"2023/21/7,19:14:0",BNV2991,,,,,,,,,1,
"2023/21/7,20:23:45",BFM1090,,,,,,,,,0,
"2023/21/7,21:28:41",AAD7379,,,,,,,,,0,
"2023/21/7,21:35:40",AAD7379,,,,,,,,,1,
"2023/21/7,21:53:10",ARE1316,,,,,,,,,1,
"2023/21/7,22:8:55",BFM1090,,,,,,,,,1,
"2023/21/7,22:17:18",ATL6867,,,,,,,,,1,
"2023/22/7,3:23:30",BBE2770,,,,,,,,,0,
"2023/22/7,4:12:49",RS8478,,,,,,,,,1,
"2023/22/7,4:21:0",RS8478,,,,,,,,,0,
"2023/22/7,4:30:35",RS8478,,,,,,,,,1,
"2023/22/7,5:15:20",AGU1550,,,,,,,,,0,
"2023/22/7,6:30:50",AKK6720,,,,,,,,,0,
"2023/22/7,8:28:33",AAD7379,,,,,,,,,0,
"2023/22/7,8:40:30",AAD7379,,,,,,,,,1,
"2023/22/7,9:6:17",BEE7158,,,,,,,,,0,
"2023/22/7,10:58:19",BBA1339,,,,,,,,,0,
"2023/22/7,11:2:55",BKL2019,,,,,,,,,0,
"2023/22/7,11:4:40",BBA1339,,,,,,,,,1,
"2023/22/7,11:9:25",BBA1339,,,,,,,,,0,
"2023/22/7,11:33:22",BPM3215,,,,,,,,,0,
"2023/22/7,11:46:26",BQK2333,,,,,,,,,1,
"2023/22/7,11:53:45",BQK2333,,,,,,,,,0,
"2023/22/7,12:21:5",AKK6720,,,,,,,,,1,
"2023/22/7,12:37:8",BBA1339,,,,,,,,,1,
"2023/22/7,12:43:40",ATL6867,,,,,,,,,0,
"2023/22/7,12:45:0",BBE2770,,,,,,,,,0,
"2023/22/7,12:51:0",BKL2019,,,,,,,,,1,
"2023/22/7,14:21:0",BEE7158,,,,,,,,,1,
"2023/22/7,15:0:39",BFM1090,,,,,,,,,0,
"2023/22/7,16:41:55",BJW9155,,,,,,,,,0,
"2023/22/7,17:7:7",1803H9,,,,,,,,,0,
"2023/22/7,17:20:51",BJW9155,,,,,,,,,1,
"2023/22/7,17:39:4",BBE2770,,,,,,,,,1,
"2023/22/7,17:58:49",RS8478,,,,,,,,,0,
"2023/22/7,18:18:19",ATK1232,,,,,,,,,0,
"2023/22/7,18:20:30",RS8478,,,,,,,,,1,
"2023/22/7,18:38:30",APN7596,,,,,,,,,0,
"2023/22/7,19:0:25",BPM3215,,,,,,,,,1,
"2023/22/7,19:52:45",BFM1090,,,,,,,,,1,
"2023/22/7,20:0:52",1803H9,,,,,,,,,1,
"2023/22/7,21:35:8",ATK1232,,,,,,,,,1,
"2023/22/7,22:1:40",ATL6867,,,,,,,,,1,
"2023/22/7,22:12:41",APN7596,,,,,,,,,1,
"2023/23/7,3:17:55",BBE2770,,,,,,,,,0,
"2023/23/7,4:25:41",AKK6720,,,,,,,,,0,
"2023/23/7,6:35:10",RS8478,,,,,,,,,0,
"2023/23/7,6:46:46",AKK6720,,,,,,,,,1,
"2023/23/7,8:15:16",5026QM,,,,,,,,,1,
"2023/23/7,8:51:50",AAD7379,,,,,,,,,0,
"2023/23/7,8:54:16",2993DH,,,,,,,,,0,
"2023/23/7,9:18:23",ATL6867,,,,,,,,,0,
"2023/23/7,9:26:3",AAD7379,,,,,,,,,1,
"2023/23/7,9:34:3",2993DH,,,,,,,,,0,
"2023/23/7,9:40:0",BNV2991,,,,,,,,,0,
"2023/23/7,9:54:16",BEE7158,,,,,,,,,0,
"2023/23/7,10:13:50",BPM3215,,,,,,,,,0,
"2023/23/7,10:39:35",BAZ0697,,,,,,,,,0,
"2023/23/7,11:17:48",2028H9,,,,,,,,,0,
"2023/23/7,11:55:4",AGU1550,,,,,,,,,1,
"2023/23/7,12:0:35",BBA1339,,,,,,,,,0,
"2023/23/7,12:5:50",BKL2019,,,,,,,,,0,
"2023/23/7,12:28:40",BAZ0697,,,,,,,,,1,
"2023/23/7,12:34:18",BKL2019,,,,,,,,,1,
"2023/23/7,13:2:38",BBE2770,,,,,,,,,1,
"2023/23/7,13:27:54",BEE7158,,,,,,,,,1,
"2023/23/7,13:36:56",AAD7379,,,,,,,,,1,
"2023/23/7,14:21:2",BBA1339,,,,,,,,,1,
"2023/23/7,14:38:26",BJW9155,,,,,,,,,0,
"2023/23/7,15:0:42",BFM1090,,,,,,,,,0,
"2023/23/7,15:38:44",5026QM,,,,,,,,,1,
"2023/23/7,15:39:58",AWY7383,,,,,,,,,0,
"2023/23/7,15:50:58",BFM1090,,,,,,,,,1,
"2023/23/7,15:53:41",ATL6867,,,,,,,,,1,
"2023/23/7,17:4:46",2028H9,,,,,,,,,1,
"2023/23/7,17:6:35",AAD7379,,,,,,,,,0,
"2023/23/7,17:16:4",1803H9,,,,,,,,,0,
"2023/23/7,17:50:2",APN7596,,,,,,,,,0,
"2023/23/7,17:55:31",3139WE,,,,,,,,,1,
"2023/23/7,17:56:32",BJW9155,,,,,,,,,1,
"2023/23/7,18:21:9",BBA1339,,,,,,,,,0,
"2023/23/7,18:21:40",ATK1232,,,,,,,,,0,
"2023/23/7,19:57:3",1803H9,,,,,,,,,1,
"2023/23/7,20:26:3",BPM3215,,,,,,,,,1,
"2023/23/7,20:43:43",AWY7383,,,,,,,,,1,
"2023/23/7,21:4:15",APN7596,,,,,,,,,1,
"2023/23/7,21:27:0",BBA1339,,,,,,,,,1,
"2023/23/7,21:43:37",ATK1232,,,,,,,,,1,
"2023/23/7,22:1:13",AAD7379,,,,,,,,,1,
"2023/24/7,5:34:0",AAD7379,,,,,,,,,0,
"2023/24/7,5:48:6",ARE1316,,,,,,,,,0,
"2023/24/7,6:15:27",AAD7379,,,,,,,,,1,
"2023/24/7,7:49:4",BPM3215,,,,,,,,,0,
"2023/24/7,7:56:42",BBM9626,,,,,,,,,0,
"2023/24/7,8:13:5",APN7596,,,,,,,,,0,
"2023/24/7,8:25:54",3139WE,,,,,,,,,0,
"2023/24/7,8:34:37",ATL6867,,,,,,,,,0,
"2023/24/7,8:14:55",ATL6867,,,,,,,,,1,
"2023/24/7,9:35:52",BJW9155,,,,,,,,,0,
